text,label,label_id
MOKHATLO O TŠOELA KA MATHE LIKHOBOSO TSA LENYALO LA MOSALI,positive,2
UTLOA NA HLOOHO EA LELAPA O RENG KA LEFU LA MOSALI-AE LE MORA OA HAE,negative,0
MONNA OA HO TŠELA CHILISI BOTHONG BA MOSALI O SHOELE,negative,0
BABELAELLOA BA POLAO EA MONNA BA HLAHA KHOTLA,negative,0
BA NKA KOLOI EA HAE KA LITHUNYA,negative,0
MOOKAMELI O AMEHA BOSHOLUNG BA LIPHOOFOLO,negative,0
TLHOKOMELISO TLHOKOMELISO,neutral,1
LEKHOTLA LE RE MOETAPELE A TŠOAROE,negative,0
MOPARAMENTE O PEPESA BOFOKOLI BA TONAKHOLO,negative,0
MOSALI O QOSOA KA HO NTŠA MAKUNUTU A 'MUSO,negative,0
LINTLHA-KHOLO MABAPI LE MOSALI EA TŠOEROENG KA MAKOLOKOTI A TLHAPI,negative,0
TONAKHOLO O RE 'MUSO OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,negative,0
MOAHLOLI OA BOLOKOA,negative,0
NGAKA E SITOA HO NETEFATSA LITOPO TSA LETAMONG,negative,0
MONNA O BATLA M3 000 000,negative,0
BASALI BA PHURA LESHOETLA,positive,2
METSOFE E SE E TLO KHOLA KHOELING ENA,positive,2
MORALI O FUMANA 'M'AE A BOLAUOE,negative,0
MASOLE A TSOANG NTOENG A PUTSOA KA M100 000,positive,2
BOLO EA MAOTO E BOLAEA SEBAPALI BOTHATA BO QALILE MAFELENG ANA A BEKE,negative,0
MOETAPELE O TELLA SECHABA,negative,0
BAAHI BA EPOLA LITOPO BA REKISA MASAPO A TSONA,negative,0
PHANO EA LIPASA E NTSE E TSAMAEA KA THELLO E KHOLO,positive,2
BANNA BA KENA-KENANA LE LEBITLA BA KHAOLA SETOPO HLOOHO,negative,0
MOPARAMENTE O AMEHA BOSHOLUNG BA LIPHOOFOLO,negative,0
MAKALANG O MAKALLA KHIRO EA LEKALA LA 'MUSO,negative,0
BA SEBOKO KA HO NYOLOHA HOA MAKOLOI,negative,0
MONNA O BATLOA KA HO QHEKETSA LE BOSHOLU,negative,0
NGOANA OA SEKOLO O PHOLOSOA LIATLENG TSA MABETA,negative,0
LEKHOTLA LE LOKOLLA BAQOSUOA KA BEILE,negative,0
MONNA O KHUTLA NTŠING TSA LEFU HO TSEKOA MOSALI,negative,0
BONA MAHLASIPA A SEBOHOLI,negative,0
MOKHOTHALETSUOA O HOKELLA SECHABA MOTLAKASE,positive,2
MOSEBETSI O HANA HO EA HAE O BATLA HO SHOELLA SESOLENG,negative,0
MOSALI EO RE ILENG RA MO KENYA MANGOLE O INEHELA SEPOLESENG,positive,2
MOETAPELE O HLAHISA LITSIETSI TSE TOBILENG SECHABA,negative,0
MOBISHOPO KE MOFU,negative,0
HAO HLOKE MOLIMO HORE O RUOE,negative,0
MONNA O LLELOA KE LITŠEPE KA NYELISO EA LEKHOTLA,negative,0
SEBOHOLI SE RE MOSEBETSI 'MOHO O MORERONG OA HO MO FENETHA,negative,0
MOHOEBI OA MOSALI O CHESELITSOE LEFU 'MOHO LE LIKOLOI TSA HAE,negative,0
LEHLOA LE NTSE LE KHETHEHA KAJENO,neutral,1
BONA SEKOTI SA NTLOANA SEO NGOANA EA LILEMO LI 'NE A OETSENG HO SONA,negative,0
BASALI BA SEBETSANG BA ETELA KEREKE,positive,2
BASALI BA BOLAEA BANNA BA BA NANYETSA,negative,0
LINYATSI TSA MEKONTERAKA LI TLO TŠOAROA,negative,0
KHILI HONA LE BATHO BA KHOPO SECHABA THUSANANG RE FUMANE LESHOLU LEO,negative,0
EHLILE HO BOIMA HO MOFU HO QOBA LEBITLA,negative,0
RAMOLAO O ITSE MAFU A SE KE A BATLISISOA,negative,0
KOMPONE EA INSURANCE E ETSA LETSOHO LA MONNA KE MOKOLLA,positive,2
SECHABA SE TLA PHALLELOA KA PHOOFO EA 12.5 LE LINAOA TSA 5KG,positive,2
NYATSI E MATHA LIPOLITIKING,negative,0
HA BA RE TLA BA THULANA LE THIBELLA MOTSENG,negative,0
MO JOETSENG A INEHELE SEPOLESENG O SE A NTSE A TŠOEROE,positive,2
BA BOLAEA MOQHOBI LE MOTHUSI OA HAE MOTSENG,negative,0
TONAKHOLO O LOKELA HO OELA,negative,0
LEFU LA MONKEY POX LE FIHLA NAHENG EA BOAHISANE,negative,0
LEPOLESA LE KOENNENG HO FETISISA LE HAPILE KHAU MACHABENG,positive,2
BA 'MUSO BA SALA MONYENYETSI MORAO,positive,2
MONNA O FUMANOA A BOLAUOE KAJENO,negative,0
CLEKETSENG LI CHELE TJENA KAJENO,positive,2
MOOKAMELI O BUA LESHANO LE MPIPI KA KA KHOTLA,negative,0
MOPOLOTIKI O KOPA SECHABA SE MOKHETHE,negative,0
TOROPO E NTSE E KENYA MABONE A MACHA,positive,2
KAMORA HO TSOARELANA MOSALI O TSOHA BOSIU O HLABELA MONNA LEFU,negative,0
MOSALI O QOSA MOKHA HAPE,negative,0
LEKHOTLA LE BA TIMA BEILE,positive,2
NGOANANA O HLOKAHALA KAMORA NTLO ESALE A EA NTLOANENG MAOBANE,negative,0
SEKOLO SE PHAHAMENG SE ETELOA KE SEPOLESA,positive,2
BAKHOSHELI BA NKELA LEBENKELE CHELETE KA SHESHE,negative,0
BO 'ME BA NKHISETSANE MEFUFUTSO BA KHOTHOMETSANA HO FIHLELA E MONG A KOQAMA E MONG HOLIMO,negative,0
MOPOLOTIKI O QOSOA KA BOMENEMENE,negative,0
NA BOPHELO BA TONAKHOLO BO TSIETSING,negative,0
SEBITI SA TONKI SE RE SE NE SE TAUOE HA SEA BONA LETHO,negative,0
KEREKE E KOALA KHOELI EA BASALI KA NOTO E HOLIMO,positive,2
MOKHATLO O FA SEPOLESA MOAHO,positive,2
LEFU LA TŠOENE LE QHOMA NAHENG EA BOAHISANE,negative,0
MAPOLESA A BATLISA KA MOFU OA MOSALI,negative,0
BONA NGOANA OA SEKOLO EA IPOLAILENG,negative,0
MOSALI O BOLAOA KE PELEHI SETEREKENG,negative,0
NYEOE EA TŠITŠINYO EA TŠEPO E EA MAMELOA,positive,2
MOLAETSA OA TSIETSI,negative,0
BAITHUTI BA SEKOLO SE PHAHAMENG BA TLAMISOA THOTO KA NKANE,negative,0
NGOANA O BETELOA MAHLONG A 'MAE KE NYATSI,negative,0
MELAELLOA OA MOFU O MATJALENG,negative,0
UTLOA LITABA TSA MOQHOBI EA THUNYELITSOENG MOTSENG,negative,0
MOSALI O THUNYETSOA LEFU MONNA'AE A NTSE A LE 'MOSHARENG,negative,0
POLICE CONSTABLE O NYAMETSE,negative,0
OA 'MUSO O BUTSOELA BASALI BA BABELI KA THOLOANA,negative,0
SESOLE SE KHALEMA LITLOKOTSEBE,positive,2
BASHANYANA BA BOLAILENG BANANA BA TINGOA BAIL SETEREKENG,negative,0
MOKHATLO O THAKHOLA BOITUKISO LIKOLUOENG,positive,2
TLHOKOMELISO KOTSI EA EXTENSION CORD,negative,0
BA QOSOA KA BOSHOLU BA MERATHATHA,negative,0
LITABA TSE MONATE HO SECHABA SOHLE,positive,2
MORUTI OA KEREKE O BOLAOA KA HO CHESOA,negative,0
MOPOLOTIKI O OA NYALA,positive,2
UTLOA NTHOE MPE E ENTSOENG KE MOITHUTI O BABOTSE KHAREBE KA MPAMA,negative,0
RE LOKELA HO HIRA MASOLE A MACHA KA HA PALO EA MASOLE ESE THEFULEHILE,positive,2
SEPOLESA SE FUMANA SETOPO SA MOHLOMPHEHI KA BUTING,negative,0
LETONA LE RE BASEBETSI BA TLO LELEKOA,negative,0
AUSI O NYAMETSE ESALE A RE O EA TOROPONG LE BOYFRIEND,negative,0
MASOLE A FEPJOA PAPA KA IMANA LE LIKHOBE,negative,0
TONAKHOLO O BOELA A BITSA BAPHATLALATSI BA LITABA,neutral,1
'MUSO O CHAKELA LELAPA KAMORA HO FENETHA MORA LONA,negative,0
LITŠEPISO TSA TONAKHOLO LI FETOHA LEFELA,negative,0
MOPOLOTIKI O RE SEPOLESA SE POTA-POTILE HA HAE KA LITHUNYA,negative,0
BONA LEKESE LA NGOANA E MONYANE HARA LITOPO,negative,0
LITEBOHO TSA SEPOLESA,positive,2
UTLOA NA HOBANENG MOSALI ENOA A NTSE A BATLOA,negative,0
RE UTSOELITSOE KOLOI MAOBANE,negative,0
LETONA O FA MACANSALARA MATLA,positive,2
LITHUNYA TSE 180 LI NYAMETSE SEPOLESENG,negative,0
TONAKHOLO O NTŠA GAZETTE E QOBELLANG HO ENTA,negative,0
MOKHA O LELEKA BAKHETHOA BOPHELO BOHLE,negative,0
MOCHOCHISI O RE HA A BATLE BAAHLOLI BA NAHA,negative,0
HO UTLOAHALA HO KHABOLA HA SETHUNYA BOIPILETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,negative,0
HO PHETHILE MAPARAMENTE A PHATHI A TEBETSOE BOPHELO BOHLE,negative,0
MOSALI O AHLOLELOA HO ETSA THOBALANO MAHLONG A BANA BA HAE,negative,0
MEKHATLO E TLABOLA SELEKANE,positive,2
MOPARAMENTE O LO LOKISA TSELA EA HABO KA SONTAHA,positive,2
UTLOA MANTSOE A BARA BA BARARO BA MOFU PHUPUNG KAJENO,neutral,1
SECHABA SE TLO BATLOA LI-ID HO TŠELA CHELETE,negative,0
MOITHUTI E MONG O HLOKAHALA A QETA HO NKA LENGOLO,negative,0
LITABA TSE BOHLOKO HO MAQHEKU LE MAQHEKOANA NAKONG ENA EA KERESEMESE,negative,0
CHELETE EA SECHABA E JOOE KA SEHLOHO PUSONG E FETILENG,negative,0
TSEBISO E POTLAKILENG,neutral,1
BANNA BA PHOLOSA LIKHOMO LEHANONG LA TAU,positive,2
SEBINI SA MOKHA SE THUNTSOE,negative,0
RASETHUNYA O QETA SECHABA MAPOLESA A SHEBELETSE,negative,0
MASAPO A COMMANDO CORPORAL A TLA KENA KA HARA NAHA KAJENO,negative,0
KOTSI E MPE SETEREKENG,negative,0
TONAKHOLO O TLO AHA MATLO A BATHO A FEFOHILENG,positive,2
SEHLOPHA SA BOLO SE BOELA E NGOLA NALANE E MPE,negative,0
MOHLANKANA O KHAOLOA MENOANA LE BOTOANA A NTSE A PHELA,negative,0
KOLOI E CHAISA NGOANA KAJENO,negative,0
SEBINI SE THUNYETSA MOHLANKANA LEFU RENKENG A 'MOLAELA LEKHOLO LA MALOTI,negative,0
M125 000 E FUOA MOTHO EA KA THUSANG KA MONYENYETSI OA BABOLAI BA SEBOHOLI,positive,2
NGAKA EA SESOTHO E BOLAEA MOTHO KA METHOKHO,negative,0
LIKHOMO LI QETA HO UTSUOA,negative,0
MONNA O THEOHELA KA BANNENG KA LEBAKA LA TEROLI,negative,0
NYEOE EA TONAKHOLO LE MOHATSA OA HAE E TLO QHALOA,negative,0
SETOPO SA NGOETSI SE QETILE MATSATSI A MANE,negative,0
LEKHOTLA LE BA FUMANE BA LE MOLATO,negative,0
KOMPONE EA MARANGRANG E RE SEJO SENYANE HA SE FETE MOLOMO,positive,2
SETOTSOANA SE FUMANOA KA NTLOANENG SETEREKENG,negative,0
MOHLOLO OA TABA NA LITSI TSA TŠIRELETSO LI CAPTURED,negative,0
LEPARAMENTE LE LENG LE HLAHISA 'MALA OA LONA,negative,0
MONNA O FUMANOA A LE MOLATO OA HO BA LE MAHLAAHLELA,negative,0
MORENA A SE KE A MPA A CHESA TOROPO HAPE,negative,0
MOPARAMENTE O EMA LE SECHABA KHAHLANONG LE KOMPONE EA MARANG-RANG,positive,2
'MELAELLOA O TJAMETSOE KE NYEOE EA HO HLEKEFETSA MOSHANYANA KA MOTABO,negative,0
MONNA O IPHANYEHA PONTŠENG EA NGOANA,negative,0
MONNA O BATLA KHAITSELI-AE LIKOBO,negative,0
BATŠEHETSI BA SEHLOPHA SA BOLO BA TLO LAHLELOA TORONKONG,negative,0
MASOLE A QOBELLOA HO PAKA NYEOENG EA TREASON,negative,0
BANNA BA BATLOA KA LIPOLAO TSA BATHO,negative,0
NGOETSI E LIKHOELI LI PELI E NOETSE KA LETŠENG,negative,0
BAITHUTI BA EA ITHEKISA HO ETSA CHELETE,negative,0
LIKHOHOLA TSA PULA,negative,0
MONNA O QOSOA KA HO NTŠA MOTHO LIKOTSI,negative,0
MONNA O QHAUTSOA KA BOQHEKANYETSI,negative,0
SEBINI SE ETSA MOHLOLO SE FA SE SENG MPHO EA M10 000,positive,2
BAETI BA SUPA MOQHOBI OA LEPHELE KA SETHUNYA,negative,0
BONA MOSALI A QOSETSOANG LESHANO O NTŠITSE MAKUNUTU A 'MUSO,negative,0
LEKHOTLA LE THIBELA HO LIHELOA HA TONAKHOLO,positive,2
BONA MASHOLU A LIKHOMO A SE NANG LITLHONG,negative,0
OFISIRI E UTSOA LIKHOMO,negative,0
MONNA O KOENTSE M4 MILIONE EA 'MUSO,negative,0
MOPARAMENTE O ITOKOLLA PARAMENTENG,negative,0
NKHONO O KOKONA BAITHUTI CHELETE,negative,0
'MUSO O THEOLA LEKHETHO LA JOALA LE KOAE,positive,2
MOKHETHOA O TŠOAROA KA BOSHOLU BA LIKHOMO,positive,2
BONA BAOKAMELI BA BANYANE BA SEPOLESA,positive,2
MONNA O BATLA M3 MILLIONE,neutral,1
NGOANA O QETA HO CHELLA KATLUNG,negative,0
HLATHE E LELEKISA TSEBE HO MOOKAMELI OA SEPOLESA,positive,2
BASALI BA SEPOLESA BA PHURA LESHOETLA LE SECHABA,positive,2
MOSALI O FUMANOA A THUNTSOE SEPOLESA SE KOPA HO BATLISOA BENG KA ENA,negative,0
PAKI E FETOHELA BAPAKI BA EONA KA KHOTLA,negative,0
MASHOLU A QETA HO BOLAEA MONGA LIKHOMO,negative,0
MONNA O TŠELA CHILISI KA BOTHONG BA MOSALI OA HAE,negative,0
KOMPONE EA MARANGRANG E BEBOFATSA KAMOHELO EA CHELETE HO TSOA KANTLE HO NAHA,positive,2
LEPOLESA LE QOSOA KA POLAO EA MOTHO,negative,0
MOETAPELE O KOETELA PROJECT EA LEKALA,negative,0
BONA LEPOLESA LE BOLAILENG MOTHO,negative,0
NGOANA O NTSE A SO FUMANOE SETEREKENG,negative,0
MONNA EA THIKHITHETSOENG QOQOTHO LE HO TLOSOA LITHO TSA BOTONA OA BOLOKOA,negative,0
LEPOLESA LE THOLISA MOSALI MOHOLO FONO,positive,2
MOCHOCHISI O NGALA LINYEOE,negative,0
BA RE LEBITLA LA MOHATSA TONAKHOLO EA MEHLENG LE FETOA KE LA KATSE,negative,0
MONGOLI O THEHA MOKHA O MOCHA,neutral,1
TSEBISO TSEBISO,neutral,1
METSOFE E KHUTLILE E SA KHOLA MAOBANE,negative,0
MONNA O QOSOA KA PETO EA NGOANANA,negative,0
LITEBOHO,positive,2
NGOANANA O ITHUNYETSA LEFU,negative,0
LITHO TSA MOKHA LI IPELAETSA KHAHLANONG LE HO PETLENYOA HOA BAKHOTHALETSUOA,negative,0
TLOKOTSI,negative,0
MOKHETHOA O NGOLLOA MOKHOEPHAHALI OA LENGOLO,negative,0
LINOKOANE LI NTSE LI BATLOA KE SEPOLESA,negative,0
MOOKAMELI O ABELA LITEREKE LIKOLOI TSE NCHA,positive,2
SEBINI SE HLOKAHALLA SEPETLELE,negative,0
SECHABA SE QETA HO QHAUTSA RASETHUNYA,positive,2
MOPOLOTIKI O LEBOHISA SEBAPALI,positive,2
MONNA OA LAELOA HO FANA KA LIFONO,negative,0
MOETAPELE O SENOLA LEQULOANA LA LITSOTSI,negative,0
LINTLHA-KHOLO POLAONG EA SEBOHOLI,negative,0
O BETA NGOANA KA NTLOANENG NGOANA O TSOILE A BELEHA EKA OA HLANYA,negative,0
KOMPONE EA LITAEMANE E FA SEPOLESA KOLOI,positive,2
BANNA BA QOSOA KA BOSHOLU BA THEPA EA BOLENG BA M265 000,negative,0
KOMISI E BITSA LIKHETHO,positive,2
BANNA BA QOSOA KA HO SENYA SERITI SA LELAPA LA BORENA,negative,0
TONAKHOLO EA NAHA E PHURA LESHOETLA LE TONAKHOLO EA NAHA EA BOAHISANE,positive,2
LESECHURITHI LE UTSOA HALOFO EA MILIONE KA SETHUNYA,negative,0
BA BOLAEA MOOKAMELI SETEREKENG,negative,0
LITICHERE LI INYAKATSA KA BARUTUOA SEKOLONG SE PHAHAMENG,negative,0
MONNA O QETILE HO RULELA SEKIRI MOLULA SETULO OA SEKIRI O RE O HLOLLETSOE,positive,2
LETONA LE THEOLETSE TSE LING TSA LITŠEBELETSO SECHABENG,positive,2
RASETHUNYA O BOLAEA BATHO BA 21,negative,0
MOSALI E MONG O HLAHELOA KE TSIETSI HAPE KOLOING EA 4+1,negative,0
MOAHLOLI O RAHA MOCHOCHISI MALING A MPA,negative,0
MONNA O QHANYATSA NGOANA MOHAISANE OA HAE HLOOHO,negative,0
BARUTOANA BA SEKOLO BA ETELOA KE MOKHATLO OA MAPOLESA A BASALI,positive,2
MOKHA OA POLOTIKI O RE O TLO KENYA BOTABANE MOLAONG,negative,0
LEBENKELE LE NKELOA THEPA EA BOIKOETLISO,negative,0
MONNA O FUMANA KAHLOLO EA KHOEBISANO KA BATHO,negative,0
MOLULASETULO OA BACHA OA BOLAOA,negative,0
HO LEBELETSOE LEHLOA HAPE,neutral,1
'MUSO O HANNE BOELETSI LIPAKI TSA CHELETE LI A BOLAOA,negative,0
UTLOA LITABA TSA MOSALI EA BELAELLOANG KA BOSHOLU BA TLHAPI,negative,0
BABELAELLOA BA BOSHOLU BA EA BOLAOA MOTSENG,negative,0
MONNA OA KA O RE MAFELO A BEKE EENA KE MOFE SEBAKA LE MOSALI EA ENTSENG NGOANA LE ENA,negative,0
TLHOKOMELISO KA KOTSI EA MOLLO,negative,0
MONNA LE MOSALI BA THUNYETSOA LEFU,negative,0
SECHABA SE BOLAISA MAKHOMOSHA PHAFA,negative,0
BA BOLAEA MASEA LE HO A EPELA THOTOBOLONG KE NKHONO MORALI LE SETLOHOLO,negative,0
KOMPONE E JOOA THEPA EA LEBENKELE,negative,0
TLHOKOMELISO HO BO-MOSAMARIA BA MOLEMO BA THUSANG MOTHO E MONG LE E MONG KA HARA TOROPO,negative,0
PITSO EA SECHABA,neutral,1
'MILA O QETA LIKOLOI,negative,0
MONNA O BOLAISOA LIOPAPINA E MONG O LLELOA KE LITŠEPE,negative,0
BANNA BA BARARO BA ITŠOARELLA KA MOSALI A LE MONG,positive,2
HO TŠEPA MOTHO KE HO POKOTHA NOHA,negative,0
SETOTSOANA SE FUMANOA SE LAHLETSOE KA HARA JARETE EA MOTHO SETEREKENG,negative,0
KOTSI E MPE TOROPONG,negative,0
MONA KE MOO MALAENE A FEFOHILENG KAMORA LIFEFO TSA KAJENO,negative,0
BATHO BA 11 BA HLOKAHETSE HA BA BANG BA TSOILE LIKOTSI NAKONG EO THAPO EA KECHE E NENG E KHAOHA MORAFONG,negative,0
KE MADAMPA-DAMPA KAHARA PHATHI,negative,0
PULA KE MAHLOPHA A SENYA,negative,0
MORA O SAKHA NTAT'AE MOLALA,negative,0
BANNA BA BABELI BA KENA HA MOTHO BA MO HLABELA LEFU,negative,0
NESE EA MONNA E SEBETSANG E BOLAUOE,negative,0
TONAKHOLO O LOANETSE BOLOKOLOHI BA SECHABA,positive,2
TSEBA KA SEKOLO SA KOETLISO,neutral,1
BATŠOARUOA BA ITLHAPHOLA KA NKU EA MONG’A EONA,negative,0
MASHOLU A KHAKHATHELOA LEFU SETEREKENG,negative,0
THEKO EA NAMA LE MAHE E TLO NYOLOHA HAMPE HAHOLO,negative,0
MONNA O FUMANOA A EPETSOE KA JARETENG,negative,0
BANNA BA HAPA CHELETE E HAKANYETSOANG HO M80 000 KA BOQHEKANYETSI,negative,0
NGOANA OA MOHOLOANE OA MOETAPELE O BOLAOA A KAKATETSE LITAEMANE,negative,0
MOPARAMENTE O KENYA SEPOLESA SESOLE LE MAUTLOELA TSELENG,positive,2
MOKHETHOA O RE O PHONYOHILE TORONKO,positive,2
MONNA O ETSA MEKA LE MEHLOLO,positive,2
TELU-PUTSOA O QOSOA KA HO FETOLA SETLOHOLO LEKHOBA LA THOBALANO,negative,0
MONNA O FETOLA MORALI OA HAE MOSALI,negative,0
NTLO E QETA HO HATA BATHO E LIHELOA KE PULA,negative,0
E TSOHA E LE SEBONOANG SE BONOA KE BOHLE MOTSENG,negative,0
BA QOSOA KA BOSHOLU BA THEPA EA KHOEBO,negative,0
